QueryName,QuerySMILES,TargetCompoundName,TargetSMILES,Similarity
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O,Probenecid,0.3511316094666378
齐墩果酸,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O,Probenecid,0.33002578707608066
鸡屎藤次苷甲酯,COC(=O)C1=CO[C@H]([C@H]2[C@@H]1[C@@H](C=C2CO)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O,Probenecid,0.322438230457219
车叶草苷,CC(=O)OCC1=C[C@H]2[C@H]3[C@@H]1[C@@H](OC=C3C(=O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O,Probenecid,0.3121424062260391
东莨菪素,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O,Probenecid,0.6042026551989377
秦皮乙素,C1=CC(=O)OC2=CC(=C(C=C21)O)O,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O,Probenecid,0.5424303788240459
4-香豆酸,C1=CC(=CC=C1/C=C/C(=O)O)O,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O,Probenecid,0.637522439459667
阿魏酸,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O,Probenecid,0.6039095899221045
山奈酚,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O,Probenecid,0.3577503651585531
熊果酸,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O,Probenecid,0.3403404323879742
豆甾醇,CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O,Probenecid,0.2885554307942638
β-谷甾醇,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O,Probenecid,0.3028101547120474
胡萝卜甙,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)C)C)C(C)C,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O,Probenecid,0.29690095131651884
鸡屎藤次甙,C1=C([C@@H]2[C@H]([C@@H]1O)C(=CO[C@H]2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C(=O)O)CO,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O,Probenecid,0.3557909042862292
车叶草酸,CC(=O)OCC1=C[C@@H]([C@H]2[C@@H]1[C@@H](OC=C2C(=O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O,Probenecid,0.32544093598090595
去乙酰基车叶草甙酸,C1=C([C@@H]2[C@H]([C@H]1O)C(=CO[C@H]2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C(=O)O)CO,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O,Probenecid,0.34822166003761745
