QueryName,QuerySMILES,TargetCompoundName,TargetSMILES,Similarity
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CC1(C2CCC1(C(=O)C2)C)C,Camphor,0.3475238304329496
齐墩果酸,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,CC1(C2CCC1(C(=O)C2)C)C,Camphor,0.2853908131771295
鸡屎藤次苷甲酯,COC(=O)C1=CO[C@H]([C@H]2[C@@H]1[C@@H](C=C2CO)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,CC1(C2CCC1(C(=O)C2)C)C,Camphor,0.27474746316666115
车叶草苷,CC(=O)OCC1=C[C@H]2[C@H]3[C@@H]1[C@@H](OC=C3C(=O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,CC1(C2CCC1(C(=O)C2)C)C,Camphor,0.2485867105049503
东莨菪素,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,CC1(C2CCC1(C(=O)C2)C)C,Camphor,0.6071455550745266
秦皮乙素,C1=CC(=O)OC2=CC(=C(C=C21)O)O,CC1(C2CCC1(C(=O)C2)C)C,Camphor,0.5618919433787175
4-香豆酸,C1=CC(=CC=C1/C=C/C(=O)O)O,CC1(C2CCC1(C(=O)C2)C)C,Camphor,0.5902840630013071
阿魏酸,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,CC1(C2CCC1(C(=O)C2)C)C,Camphor,0.5831076963924116
山奈酚,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,CC1(C2CCC1(C(=O)C2)C)C,Camphor,0.36729612314506715
熊果酸,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O,CC1(C2CCC1(C(=O)C2)C)C,Camphor,0.27998351755824874
豆甾醇,CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C,CC1(C2CCC1(C(=O)C2)C)C,Camphor,0.24673464404331413
β-谷甾醇,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C,CC1(C2CCC1(C(=O)C2)C)C,Camphor,0.28004732921523745
胡萝卜甙,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)C)C)C(C)C,CC1(C2CCC1(C(=O)C2)C)C,Camphor,0.269304203606586
鸡屎藤次甙,C1=C([C@@H]2[C@H]([C@@H]1O)C(=CO[C@H]2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C(=O)O)CO,CC1(C2CCC1(C(=O)C2)C)C,Camphor,0.2654416215633134
车叶草酸,CC(=O)OCC1=C[C@@H]([C@H]2[C@@H]1[C@@H](OC=C2C(=O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O,CC1(C2CCC1(C(=O)C2)C)C,Camphor,0.250106166674835
去乙酰基车叶草甙酸,C1=C([C@@H]2[C@H]([C@H]1O)C(=CO[C@H]2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C(=O)O)CO,CC1(C2CCC1(C(=O)C2)C)C,Camphor,0.26457179372751066
