QueryName,QuerySMILES,TargetCompoundName,TargetSMILES,Similarity
鸡屎藤次苷甲酯,COC(=O)C1=CO[C@H]([C@H]2[C@@H]1[C@@H](C=C2CO)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,C1CCC(C1)(C(=O)N2CCN(CC2)C3=CC=C(C=C3)C(F)(F)F)NC4=CC=C(C=C4)C#N,TRPA1-IN-2,0.289005995648054
鸡屎藤次苷甲酯,COC(=O)C1=CO[C@H]([C@H]2[C@@H]1[C@@H](C=C2CO)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,C/C(=C\C1=CC=C(C=C1)Cl)/C(=N\O)/C,AP-18,0.23225679495721002
鸡屎藤次苷甲酯,COC(=O)C1=CO[C@H]([C@H]2[C@@H]1[C@@H](C=C2CO)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,C[C@H]1[C@@H](C[C@H](N1S(=O)(=O)C2=CC=C(C=C2)F)C(=O)NCC3=CC(=NC=C3C(F)(F)F)C4=CN=C(N=C4)C(F)(F)F)F,GDC-0334,0.2572893284679029
鸡屎藤次苷甲酯,COC(=O)C1=CO[C@H]([C@H]2[C@@H]1[C@@H](C=C2CO)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,C[C@H]1CC[C@]2([C@H]([C@]1(C)CCC3(CCC(OO3)[C@@H](C)C(=O)O)C)CCCC2=C)C,hTRPA1-IN-1,0.2611045922178911
鸡屎藤次苷甲酯,COC(=O)C1=CO[C@H]([C@H]2[C@@H]1[C@@H](C=C2CO)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,CC(C)C1=CC=C(C=C1)NC(=O)CN2C=NC3=C2C(=O)N(C(=O)N3C)C,HC-030031,0.2665811050564617
鸡屎藤次苷甲酯,COC(=O)C1=CO[C@H]([C@H]2[C@@H]1[C@@H](C=C2CO)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,C1=CC(=C(C=C1I)F)C#N,2-Fluoro-4-iodobenzonitrile,0.4483450583265972
鸡屎藤次苷甲酯,COC(=O)C1=CO[C@H]([C@H]2[C@@H]1[C@@H](C=C2CO)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,CC/C=C\C[C@@H]([C@@H](/C=C/C=C/C=C\C=C\[C@H](C/C=C\CCC(=O)O)O)O)O,Resolvin D2,0.32832524705152355
鸡屎藤次苷甲酯,COC(=O)C1=CO[C@H]([C@H]2[C@@H]1[C@@H](C=C2CO)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,C1CC[C@@]([C@@H](C1)NC2=CC=C(C=C2)F)(C(F)(F)F)O,BAY-390,0.2732888562693657
鸡屎藤次苷甲酯,COC(=O)C1=CO[C@H]([C@H]2[C@@H]1[C@@H](C=C2CO)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,CC1=NC2=C(C(=O)N1CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC=C(C=C5)Cl)N(C=N2)C,GDC-6599,0.2512114443362642
车叶草苷,CC(=O)OCC1=C[C@H]2[C@H]3[C@@H]1[C@@H](OC=C3C(=O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,C1CCC(C1)(C(=O)N2CCN(CC2)C3=CC=C(C=C3)C(F)(F)F)NC4=CC=C(C=C4)C#N,TRPA1-IN-2,0.3035791689052193
车叶草苷,CC(=O)OCC1=C[C@H]2[C@H]3[C@@H]1[C@@H](OC=C3C(=O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,C/C(=C\C1=CC=C(C=C1)Cl)/C(=N\O)/C,AP-18,0.21961101531184946
车叶草苷,CC(=O)OCC1=C[C@H]2[C@H]3[C@@H]1[C@@H](OC=C3C(=O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,C[C@H]1[C@@H](C[C@H](N1S(=O)(=O)C2=CC=C(C=C2)F)C(=O)NCC3=CC(=NC=C3C(F)(F)F)C4=CN=C(N=C4)C(F)(F)F)F,GDC-0334,0.2660975287504841
车叶草苷,CC(=O)OCC1=C[C@H]2[C@H]3[C@@H]1[C@@H](OC=C3C(=O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,C[C@H]1CC[C@]2([C@H]([C@]1(C)CCC3(CCC(OO3)[C@@H](C)C(=O)O)C)CCCC2=C)C,hTRPA1-IN-1,0.26586718317841873
车叶草苷,CC(=O)OCC1=C[C@H]2[C@H]3[C@@H]1[C@@H](OC=C3C(=O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,CC(C)C1=CC=C(C=C1)NC(=O)CN2C=NC3=C2C(=O)N(C(=O)N3C)C,HC-030031,0.2620772008985567
车叶草苷,CC(=O)OCC1=C[C@H]2[C@H]3[C@@H]1[C@@H](OC=C3C(=O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,C1=CC(=C(C=C1I)F)C#N,2-Fluoro-4-iodobenzonitrile,0.4572767205938054
车叶草苷,CC(=O)OCC1=C[C@H]2[C@H]3[C@@H]1[C@@H](OC=C3C(=O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,CC/C=C\C[C@@H]([C@@H](/C=C/C=C/C=C\C=C\[C@H](C/C=C\CCC(=O)O)O)O)O,Resolvin D2,0.327201484636937
