QueryName,QuerySMILES,TargetCompoundName,TargetSMILES,Similarity
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CC1=C(C=C(N1CCCN2CCOCC2)C3=CC=CC=C3)C(=O)NC4=CC=CC(=C4)C(F)(F)F,HC-067047,0.32289089146176375
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CN(CCC1=CC=C(C=C1)NC2=NC=C(S2)C3=CN=CC=C3)CC4=CC=CC=C4.Br,GSK205,0.30309204845973814
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CC(C)N1CCN(CC1)S(=O)(=O)C2=CC=C(C=C2)NC(=O)C3=C(C=C(C=C3Cl)Cl)Cl,TRPV4-IN-5,0.31538502830175763
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CC1=C(C=C(N1CCCN2CCOCC2)C3=CC=CC=C3)C(=O)NC4=CC=CC(=C4)C(F)(F)F.Cl,HC-067047 hydrochloride,0.44998556893279695
齐墩果酸,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,CC1=C(C=C(N1CCCN2CCOCC2)C3=CC=CC=C3)C(=O)NC4=CC=CC(=C4)C(F)(F)F,HC-067047,0.3110417539711898
齐墩果酸,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,CN(CCC1=CC=C(C=C1)NC2=NC=C(S2)C3=CN=CC=C3)CC4=CC=CC=C4.Br,GSK205,0.2753823382659315
齐墩果酸,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,CC(C)N1CCN(CC1)S(=O)(=O)C2=CC=C(C=C2)NC(=O)C3=C(C=C(C=C3Cl)Cl)Cl,TRPV4-IN-5,0.3635763058471204
齐墩果酸,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,CC1=C(C=C(N1CCCN2CCOCC2)C3=CC=CC=C3)C(=O)NC4=CC=CC(=C4)C(F)(F)F.Cl,HC-067047 hydrochloride,0.49250869215524723
鸡屎藤次苷甲酯,COC(=O)C1=CO[C@H]([C@H]2[C@@H]1[C@@H](C=C2CO)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,CC1=C(C=C(N1CCCN2CCOCC2)C3=CC=CC=C3)C(=O)NC4=CC=CC(=C4)C(F)(F)F,HC-067047,0.2440317497019794
鸡屎藤次苷甲酯,COC(=O)C1=CO[C@H]([C@H]2[C@@H]1[C@@H](C=C2CO)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,CN(CCC1=CC=C(C=C1)NC2=NC=C(S2)C3=CN=CC=C3)CC4=CC=CC=C4.Br,GSK205,0.2498520128750499
鸡屎藤次苷甲酯,COC(=O)C1=CO[C@H]([C@H]2[C@@H]1[C@@H](C=C2CO)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,CC(C)N1CCN(CC1)S(=O)(=O)C2=CC=C(C=C2)NC(=O)C3=C(C=C(C=C3Cl)Cl)Cl,TRPV4-IN-5,0.29309380279202346
