QueryName,QuerySMILES,TargetCompoundName,TargetSMILES,Similarity
鸡屎藤次苷甲酯,COC(=O)C1=CO[C@H]([C@H]2[C@@H]1[C@@H](C=C2CO)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,CC(C)CN1C2=C(C=CC=C2F)/C(=C\C(=O)O)/C1=O,ASP7663,0.24807790277098782
鸡屎藤次苷甲酯,COC(=O)C1=CO[C@H]([C@H]2[C@@H]1[C@@H](C=C2CO)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,C1=CC=C(C=C1)N=NC2=CC(=NC=C2)Cl,TRPA1 Antagonist 3,0.3693161822685799
鸡屎藤次苷甲酯,COC(=O)C1=CO[C@H]([C@H]2[C@@H]1[C@@H](C=C2CO)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=CC=C(C=C2)CN=C=S)O)O)O,Moringin,0.31250494988449856
鸡屎藤次苷甲酯,COC(=O)C1=CO[C@H]([C@H]2[C@@H]1[C@@H](C=C2CO)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,CCCCCC(=O)/C=C/C=O,(E)-4-Oxo-2-nonenal,0.42673928761211677
鸡屎藤次苷甲酯,COC(=O)C1=CO[C@H]([C@H]2[C@@H]1[C@@H](C=C2CO)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,CC[C@H]1C[C@H]2C[C@@]3([C@H]1N(C2)CCC4=C3NC5=C4C=C(C=C5)OC)C(=O)OC,Voacangine,0.27749056304108877
车叶草苷,CC(=O)OCC1=C[C@H]2[C@H]3[C@@H]1[C@@H](OC=C3C(=O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,CC(C)CNC1=NC(=NC=C1C(=O)NCC2=CC=CC=C2)N3CCN(CC3)CC4CCCOC4,PF-4840154,0.3147374056158831
车叶草苷,CC(=O)OCC1=C[C@H]2[C@H]3[C@@H]1[C@@H](OC=C3C(=O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,C1=CC=C(C=C1)N=NC2=CC=C(C=C2)C(=O)O,4-(Phenyldiazenyl)benzoic acid,0.4057753965234583
车叶草苷,CC(=O)OCC1=C[C@H]2[C@H]3[C@@H]1[C@@H](OC=C3C(=O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,COCCCN(C1=NC(=CS1)C2=CC=C(C=C2)OC)C(=O)CCl,JT010,0.19302493992317823
车叶草苷,CC(=O)OCC1=C[C@H]2[C@H]3[C@@H]1[C@@H](OC=C3C(=O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,COC1=CC(=CC(=C1O)OC)C(=O)OC,Methyl syringate,0.34437815926965404
车叶草苷,CC(=O)OCC1=C[C@H]2[C@H]3[C@@H]1[C@@H](OC=C3C(=O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,CC(C)CN1C2=C(C=CC=C2F)/C(=C\C(=O)O)/C1=O,ASP7663,0.22930075249620668
车叶草苷,CC(=O)OCC1=C[C@H]2[C@H]3[C@@H]1[C@@H](OC=C3C(=O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,C1=CC=C(C=C1)N=NC2=CC(=NC=C2)Cl,TRPA1 Antagonist 3,0.355945506278845
车叶草苷,CC(=O)OCC1=C[C@H]2[C@H]3[C@@H]1[C@@H](OC=C3C(=O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=CC=C(C=C2)CN=C=S)O)O)O,Moringin,0.308379480837855
车叶草苷,CC(=O)OCC1=C[C@H]2[C@H]3[C@@H]1[C@@H](OC=C3C(=O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,CCCCCC(=O)/C=C/C=O,(E)-4-Oxo-2-nonenal,0.44712578744660864
车叶草苷,CC(=O)OCC1=C[C@H]2[C@H]3[C@@H]1[C@@H](OC=C3C(=O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,CC[C@H]1C[C@H]2C[C@@]3([C@H]1N(C2)CCC4=C3NC5=C4C=C(C=C5)OC)C(=O)OC,Voacangine,0.2723033561775088
东莨菪素,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,CC(C)CNC1=NC(=NC=C1C(=O)NCC2=CC=CC=C2)N3CCN(CC3)CC4CCCOC4,PF-4840154,0.5882156797782246
东莨菪素,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,C1=CC=C(C=C1)N=NC2=CC=C(C=C2)C(=O)O,4-(Phenyldiazenyl)benzoic acid,0.5218619060552203
东莨菪素,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,COCCCN(C1=NC(=CS1)C2=CC=C(C=C2)OC)C(=O)CCl,JT010,0.4713336323907389
东莨菪素,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,COC1=CC(=CC(=C1O)OC)C(=O)OC,Methyl syringate,0.5596919865989249
东莨菪素,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,CC(C)CN1C2=C(C=CC=C2F)/C(=C\C(=O)O)/C1=O,ASP7663,0.4969687515825344
东莨菪素,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,C1=CC=C(C=C1)N=NC2=CC(=NC=C2)Cl,TRPA1 Antagonist 3,0.6104841387569684
东莨菪素,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=CC=C(C=C2)CN=C=S)O)O)O,Moringin,0.6178722577795543
东莨菪素,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,CCCCCC(=O)/C=C/C=O,(E)-4-Oxo-2-nonenal,0.6016309920103341
东莨菪素,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,CC[C@H]1C[C@H]2C[C@@]3([C@H]1N(C2)CCC4=C3NC5=C4C=C(C=C5)OC)C(=O)OC,Voacangine,0.6233238183816493
秦皮乙素,C1=CC(=O)OC2=CC(=C(C=C21)O)O,CC(C)CNC1=NC(=NC=C1C(=O)NCC2=CC=CC=C2)N3CCN(CC3)CC4CCCOC4,PF-4840154,0.5602829294333336
秦皮乙素,C1=CC(=O)OC2=CC(=C(C=C21)O)O,C1=CC=C(C=C1)N=NC2=CC=C(C=C2)C(=O)O,4-(Phenyldiazenyl)benzoic acid,0.4555051879322708
秦皮乙素,C1=CC(=O)OC2=CC(=C(C=C21)O)O,COCCCN(C1=NC(=CS1)C2=CC=C(C=C2)OC)C(=O)CCl,JT010,0.4362947289544132
秦皮乙素,C1=CC(=O)OC2=CC(=C(C=C21)O)O,COC1=CC(=CC(=C1O)OC)C(=O)OC,Methyl syringate,0.506392231523647
秦皮乙素,C1=CC(=O)OC2=CC(=C(C=C21)O)O,CC(C)CN1C2=C(C=CC=C2F)/C(=C\C(=O)O)/C1=O,ASP7663,0.4634049308969568
秦皮乙素,C1=CC(=O)OC2=CC(=C(C=C21)O)O,C1=CC=C(C=C1)N=NC2=CC(=NC=C2)Cl,TRPA1 Antagonist 3,0.5590200992892473
秦皮乙素,C1=CC(=O)OC2=CC(=C(C=C21)O)O,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=CC=C(C=C2)CN=C=S)O)O)O,Moringin,0.5520196473838408
秦皮乙素,C1=CC(=O)OC2=CC(=C(C=C21)O)O,CCCCCC(=O)/C=C/C=O,(E)-4-Oxo-2-nonenal,0.5726653322785159
