QueryName,QuerySMILES,TargetCompoundName,TargetSMILES,Similarity
秦皮乙素,C1=CC(=O)OC2=CC(=C(C=C21)O)O,CN1CCN(CC1)C2=NC3=C(C=CC=C3F)C(=O)N2C4=CC=C(C=C4)OC5=CC=C(C=C5)F.Cl,TRPV4 agonist-1,0.563553063819076
秦皮乙素,C1=CC(=O)OC2=CC(=C(C=C21)O)O,CC(C)C[C@@H](C(=O)N1CCN(CC1)C(=O)[C@H](CO)NS(=O)(=O)C2=C(C=C(C=C2)Cl)Cl)NC(=O)C3=CC4=CC=CC=C4S3,GSK1016790A,0.4600837800930635
4-香豆酸,C1=CC(=CC=C1/C=C/C(=O)O)O,CN1CCN(CC1)C2=NC3=C(C=CC=C3F)C(=O)N2C4=CC=C(C=C4)OC5=CC=C(C=C5)F,TRPV4 agonist-1 free base,0.6194823323835789
4-香豆酸,C1=CC(=CC=C1/C=C/C(=O)O)O,CN1CCN(CC1)C2=NC3=C(C=CC=C3F)C(=O)N2C4=CC=C(C=C4)OC5=CC=C(C=C5)F.Cl,TRPV4 agonist-1,0.6241414772392826
4-香豆酸,C1=CC(=CC=C1/C=C/C(=O)O)O,CC(C)C[C@@H](C(=O)N1CCN(CC1)C(=O)[C@H](CO)NS(=O)(=O)C2=C(C=C(C=C2)Cl)Cl)NC(=O)C3=CC4=CC=CC=C4S3,GSK1016790A,0.4797295759768986
阿魏酸,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,CN1CCN(CC1)C2=NC3=C(C=CC=C3F)C(=O)N2C4=CC=C(C=C4)OC5=CC=C(C=C5)F,TRPV4 agonist-1 free base,0.627603084759396
阿魏酸,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,CN1CCN(CC1)C2=NC3=C(C=CC=C3F)C(=O)N2C4=CC=C(C=C4)OC5=CC=C(C=C5)F.Cl,TRPV4 agonist-1,0.6053055950943189
阿魏酸,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,CC(C)C[C@@H](C(=O)N1CCN(CC1)C(=O)[C@H](CO)NS(=O)(=O)C2=C(C=C(C=C2)Cl)Cl)NC(=O)C3=CC4=CC=CC=C4S3,GSK1016790A,0.4697624415473855
山奈酚,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,CN1CCN(CC1)C2=NC3=C(C=CC=C3F)C(=O)N2C4=CC=C(C=C4)OC5=CC=C(C=C5)F,TRPV4 agonist-1 free base,0.47043325137568587
山奈酚,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,CN1CCN(CC1)C2=NC3=C(C=CC=C3F)C(=O)N2C4=CC=C(C=C4)OC5=CC=C(C=C5)F.Cl,TRPV4 agonist-1,0.3864193503313459
山奈酚,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,CC(C)C[C@@H](C(=O)N1CCN(CC1)C(=O)[C@H](CO)NS(=O)(=O)C2=C(C=C(C=C2)Cl)Cl)NC(=O)C3=CC4=CC=CC=C4S3,GSK1016790A,0.3134925785201016
熊果酸,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O,CN1CCN(CC1)C2=NC3=C(C=CC=C3F)C(=O)N2C4=CC=C(C=C4)OC5=CC=C(C=C5)F,TRPV4 agonist-1 free base,0.5220184698487451
熊果酸,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O,CN1CCN(CC1)C2=NC3=C(C=CC=C3F)C(=O)N2C4=CC=C(C=C4)OC5=CC=C(C=C5)F.Cl,TRPV4 agonist-1,0.42044156443524994
熊果酸,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O,CC(C)C[C@@H](C(=O)N1CCN(CC1)C(=O)[C@H](CO)NS(=O)(=O)C2=C(C=C(C=C2)Cl)Cl)NC(=O)C3=CC4=CC=CC=C4S3,GSK1016790A,0.2811637805858178
豆甾醇,CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C,CN1CCN(CC1)C2=NC3=C(C=CC=C3F)C(=O)N2C4=CC=C(C=C4)OC5=CC=C(C=C5)F,TRPV4 agonist-1 free base,0.4863845758367378
豆甾醇,CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C,CN1CCN(CC1)C2=NC3=C(C=CC=C3F)C(=O)N2C4=CC=C(C=C4)OC5=CC=C(C=C5)F.Cl,TRPV4 agonist-1,0.3880509782019742
豆甾醇,CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C,CC(C)C[C@@H](C(=O)N1CCN(CC1)C(=O)[C@H](CO)NS(=O)(=O)C2=C(C=C(C=C2)Cl)Cl)NC(=O)C3=CC4=CC=CC=C4S3,GSK1016790A,0.25547681470372696
β-谷甾醇,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C,CN1CCN(CC1)C2=NC3=C(C=CC=C3F)C(=O)N2C4=CC=C(C=C4)OC5=CC=C(C=C5)F,TRPV4 agonist-1 free base,0.5083489073574874
β-谷甾醇,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C,CN1CCN(CC1)C2=NC3=C(C=CC=C3F)C(=O)N2C4=CC=C(C=C4)OC5=CC=C(C=C5)F.Cl,TRPV4 agonist-1,0.41379502543500885
β-谷甾醇,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C,CC(C)C[C@@H](C(=O)N1CCN(CC1)C(=O)[C@H](CO)NS(=O)(=O)C2=C(C=C(C=C2)Cl)Cl)NC(=O)C3=CC4=CC=CC=C4S3,GSK1016790A,0.277809943861115
胡萝卜甙,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)C)C)C(C)C,CN1CCN(CC1)C2=NC3=C(C=CC=C3F)C(=O)N2C4=CC=C(C=C4)OC5=CC=C(C=C5)F,TRPV4 agonist-1 free base,0.49325783521774647
胡萝卜甙,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)C)C)C(C)C,CN1CCN(CC1)C2=NC3=C(C=CC=C3F)C(=O)N2C4=CC=C(C=C4)OC5=CC=C(C=C5)F.Cl,TRPV4 agonist-1,0.3947452423701113
胡萝卜甙,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)C)C)C(C)C,CC(C)C[C@@H](C(=O)N1CCN(CC1)C(=O)[C@H](CO)NS(=O)(=O)C2=C(C=C(C=C2)Cl)Cl)NC(=O)C3=CC4=CC=CC=C4S3,GSK1016790A,0.2578832755984997
鸡屎藤次甙,C1=C([C@@H]2[C@H]([C@@H]1O)C(=CO[C@H]2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C(=O)O)CO,CN1CCN(CC1)C2=NC3=C(C=CC=C3F)C(=O)N2C4=CC=C(C=C4)OC5=CC=C(C=C5)F,TRPV4 agonist-1 free base,0.543753043866979
鸡屎藤次甙,C1=C([C@@H]2[C@H]([C@@H]1O)C(=CO[C@H]2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C(=O)O)CO,CN1CCN(CC1)C2=NC3=C(C=CC=C3F)C(=O)N2C4=CC=C(C=C4)OC5=CC=C(C=C5)F.Cl,TRPV4 agonist-1,0.43564015428455233
鸡屎藤次甙,C1=C([C@@H]2[C@H]([C@@H]1O)C(=CO[C@H]2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C(=O)O)CO,CC(C)C[C@@H](C(=O)N1CCN(CC1)C(=O)[C@H](CO)NS(=O)(=O)C2=C(C=C(C=C2)Cl)Cl)NC(=O)C3=CC4=CC=CC=C4S3,GSK1016790A,0.24832716054620818
车叶草酸,CC(=O)OCC1=C[C@@H]([C@H]2[C@@H]1[C@@H](OC=C2C(=O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O,CN1CCN(CC1)C2=NC3=C(C=CC=C3F)C(=O)N2C4=CC=C(C=C4)OC5=CC=C(C=C5)F,TRPV4 agonist-1 free base,0.5130629642108475
车叶草酸,CC(=O)OCC1=C[C@@H]([C@H]2[C@@H]1[C@@H](OC=C2C(=O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O,CN1CCN(CC1)C2=NC3=C(C=CC=C3F)C(=O)N2C4=CC=C(C=C4)OC5=CC=C(C=C5)F.Cl,TRPV4 agonist-1,0.39733612342087443
车叶草酸,CC(=O)OCC1=C[C@@H]([C@H]2[C@@H]1[C@@H](OC=C2C(=O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O,CC(C)C[C@@H](C(=O)N1CCN(CC1)C(=O)[C@H](CO)NS(=O)(=O)C2=C(C=C(C=C2)Cl)Cl)NC(=O)C3=CC4=CC=CC=C4S3,GSK1016790A,0.22621450890407008
去乙酰基车叶草甙酸,C1=C([C@@H]2[C@H]([C@H]1O)C(=CO[C@H]2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C(=O)O)CO,CN1CCN(CC1)C2=NC3=C(C=CC=C3F)C(=O)N2C4=CC=C(C=C4)OC5=CC=C(C=C5)F,TRPV4 agonist-1 free base,0.5453271946972426
去乙酰基车叶草甙酸,C1=C([C@@H]2[C@H]([C@H]1O)C(=CO[C@H]2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C(=O)O)CO,CN1CCN(CC1)C2=NC3=C(C=CC=C3F)C(=O)N2C4=CC=C(C=C4)OC5=CC=C(C=C5)F.Cl,TRPV4 agonist-1,0.43702102523458786
去乙酰基车叶草甙酸,C1=C([C@@H]2[C@H]([C@H]1O)C(=CO[C@H]2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C(=O)O)CO,CC(C)C[C@@H](C(=O)N1CCN(CC1)C(=O)[C@H](CO)NS(=O)(=O)C2=C(C=C(C=C2)Cl)Cl)NC(=O)C3=CC4=CC=CC=C4S3,GSK1016790A,0.2545743227288648
