ID1,ID2,Similarity_PC-score8Q,Similarity_PC-score8T
A-784168,4-香豆酸,0.7807,0.2928
AMG 7905,4-香豆酸,0.7452,0.263
BCTC,4-香豆酸,0.7501,0.3462
Caffeic acid,4-香豆酸,0.9867,0.9108
DWP-05195,4-香豆酸,0.7313,0.3375
JNJ-39729209,4-香豆酸,0.777,0.3215
LASSBio-1135,4-香豆酸,0.675,0.3682
N-Arachidonoylserotonin,4-香豆酸,0.7235,0.2553
Resolvin D2,4-香豆酸,0.5494,0.2442
Stearoyl Serotonin,4-香豆酸,0.6966,0.2612
Voacangine,4-香豆酸,0.7072,0.3143
A-784168,β-谷甾醇,0.4913,0.5241
AMG 7905,β-谷甾醇,0.43,0.4873
BCTC,β-谷甾醇,0.5238,0.454
Caffeic acid,β-谷甾醇,0.5095,0.2208
DWP-05195,β-谷甾醇,0.4527,0.3923
JNJ-39729209,β-谷甾醇,0.4775,0.4616
LASSBio-1135,β-谷甾醇,0.4238,0.3108
N-Arachidonoylserotonin,β-谷甾醇,0.4483,0.5081
Resolvin D2,β-谷甾醇,0.5406,0.4865
Stearoyl Serotonin,β-谷甾醇,0.4716,0.503
Voacangine,β-谷甾醇,0.5643,0.5079
A-784168,东莨菪素,0.6648,0.2909
AMG 7905,东莨菪素,0.6508,0.268
BCTC,东莨菪素,0.6143,0.3308
Caffeic acid,东莨菪素,0.708,0.6575
DWP-05195,东莨菪素,0.7012,0.3776
JNJ-39729209,东莨菪素,0.7571,0.3655
LASSBio-1135,东莨菪素,0.6499,0.4136
N-Arachidonoylserotonin,东莨菪素,0.6337,0.2609
Resolvin D2,东莨菪素,0.4382,0.2272
Stearoyl Serotonin,东莨菪素,0.6073,0.2657
Voacangine,东莨菪素,0.6828,0.354
A-784168,去乙酰基车叶草甙酸,0.4684,0.5551
AMG 7905,去乙酰基车叶草甙酸,0.5322,0.4227
BCTC,去乙酰基车叶草甙酸,0.4809,0.4994
Caffeic acid,去乙酰基车叶草甙酸,0.5034,0.2424
DWP-05195,去乙酰基车叶草甙酸,0.411,0.3958
JNJ-39729209,去乙酰基车叶草甙酸,0.4292,0.461
LASSBio-1135,去乙酰基车叶草甙酸,0.4023,0.3278
N-Arachidonoylserotonin,去乙酰基车叶草甙酸,0.377,0.4747
Resolvin D2,去乙酰基车叶草甙酸,0.5182,0.5182
Stearoyl Serotonin,去乙酰基车叶草甙酸,0.465,0.3923
Voacangine,去乙酰基车叶草甙酸,0.542,0.542
A-784168,山奈酚,0.6704,0.44
AMG 7905,山奈酚,0.7224,0.4462
BCTC,山奈酚,0.6465,0.5222
Caffeic acid,山奈酚,0.7253,0.449
DWP-05195,山奈酚,0.7277,0.5877
JNJ-39729209,山奈酚,0.6997,0.5067
LASSBio-1135,山奈酚,0.6792,0.6484
N-Arachidonoylserotonin,山奈酚,0.5818,0.3594
Resolvin D2,山奈酚,0.4586,0.3567
Stearoyl Serotonin,山奈酚,0.5969,0.3917
Voacangine,山奈酚,0.5709,0.444
A-784168,槲皮素,0.678,0.4661
AMG 7905,槲皮素,0.7558,0.489
BCTC,槲皮素,0.6354,0.5376
Caffeic acid,槲皮素,0.8354,0.4937
DWP-05195,槲皮素,0.7234,0.6121
JNJ-39729209,槲皮素,0.6947,0.527
LASSBio-1135,槲皮素,0.6591,0.6591
N-Arachidonoylserotonin,槲皮素,0.5906,0.3821
Resolvin D2,槲皮素,0.4721,0.3847
Stearoyl Serotonin,槲皮素,0.5923,0.4072
Voacangine,槲皮素,0.5635,0.4591
A-784168,熊果酸,0.5283,0.5123
AMG 7905,熊果酸,0.4527,0.4664
BCTC,熊果酸,0.5361,0.4224
Caffeic acid,熊果酸,0.4676,0.1842
DWP-05195,熊果酸,0.4387,0.3456
JNJ-39729209,熊果酸,0.4482,0.3939
LASSBio-1135,熊果酸,0.4096,0.2731
N-Arachidonoylserotonin,熊果酸,0.4219,0.4347
Resolvin D2,熊果酸,0.5181,0.4239
Stearoyl Serotonin,熊果酸,0.4243,0.4114
Voacangine,熊果酸,0.5217,0.4269
A-784168,秦皮乙素,0.6621,0.269
AMG 7905,秦皮乙素,0.5888,0.2251
BCTC,秦皮乙素,0.6582,0.3291
Caffeic acid,秦皮乙素,0.6759,0.6759
DWP-05195,秦皮乙素,0.6142,0.3071
JNJ-39729209,秦皮乙素,0.6789,0.3043
LASSBio-1135,秦皮乙素,0.625,0.3693
N-Arachidonoylserotonin,秦皮乙素,0.5872,0.2245
Resolvin D2,秦皮乙素,0.3952,0.1903
Stearoyl Serotonin,秦皮乙素,0.6467,0.2627
Voacangine,秦皮乙素,0.676,0.3255
A-784168,胡萝卜甙,0.4946,0.386
AMG 7905,胡萝卜甙,0.4766,0.3953
BCTC,胡萝卜甙,0.5782,0.3666
Caffeic acid,胡萝卜甙,0.5077,0.161
DWP-05195,胡萝卜甙,0.4675,0.2965
JNJ-39729209,胡萝卜甙,0.4677,0.3308
LASSBio-1135,胡萝卜甙,0.3729,0.2001
N-Arachidonoylserotonin,胡萝卜甙,0.4942,0.4098
Resolvin D2,胡萝卜甙,0.5387,0.3548
Stearoyl Serotonin,胡萝卜甙,0.5353,0.4178
Voacangine,胡萝卜甙,0.5247,0.3455
A-784168,豆甾醇,0.5102,0.5442
AMG 7905,豆甾醇,0.4172,0.4728
BCTC,豆甾醇,0.5275,0.4572
Caffeic acid,豆甾醇,0.5121,0.2219
DWP-05195,豆甾醇,0.4678,0.4054
JNJ-39729209,豆甾醇,0.4683,0.4527
LASSBio-1135,豆甾醇,0.4005,0.2937
N-Arachidonoylserotonin,豆甾醇,0.4532,0.5137
Resolvin D2,豆甾醇,0.5628,0.5065
Stearoyl Serotonin,豆甾醇,0.4729,0.5044
Voacangine,豆甾醇,0.5262,0.4736
A-784168,车叶草苷,0.4533,0.5002
AMG 7905,车叶草苷,0.4213,0.4939
BCTC,车叶草苷,0.493,0.442
Caffeic acid,车叶草苷,0.5755,0.258
DWP-05195,车叶草苷,0.4272,0.383
JNJ-39729209,车叶草苷,0.4403,0.4403
LASSBio-1135,车叶草苷,0.4247,0.3222
N-Arachidonoylserotonin,车叶草苷,0.3858,0.4523
Resolvin D2,车叶草苷,0.5193,0.4835
Stearoyl Serotonin,车叶草苷,0.407,0.4491
Voacangine,车叶草苷,0.5359,0.4989
A-784168,车叶草酸,0.4648,0.4958
AMG 7905,车叶草酸,0.4642,0.526
BCTC,车叶草酸,0.5493,0.476
Caffeic acid,车叶草酸,0.6298,0.2729
DWP-05195,车叶草酸,0.4097,0.3551
JNJ-39729209,车叶草酸,0.4434,0.4286
LASSBio-1135,车叶草酸,0.4714,0.3457
N-Arachidonoylserotonin,车叶草酸,0.4108,0.4655
Resolvin D2,车叶草酸,0.5257,0.4731
Stearoyl Serotonin,车叶草酸,0.433,0.4619
Voacangine,车叶草酸,0.5413,0.4871
A-784168,阿魏酸,0.6475,0.2833
AMG 7905,阿魏酸,0.7764,0.3197
BCTC,阿魏酸,0.7185,0.3869
Caffeic acid,阿魏酸,0.9707,0.9013
DWP-05195,阿魏酸,0.6392,0.3442
JNJ-39729209,阿魏酸,0.6502,0.3139
LASSBio-1135,阿魏酸,0.6474,0.412
N-Arachidonoylserotonin,阿魏酸,0.7081,0.2916
Resolvin D2,阿魏酸,0.5724,0.2968
Stearoyl Serotonin,阿魏酸,0.611,0.2673
Voacangine,阿魏酸,0.7181,0.3723
A-784168,鸡屎藤次甙,0.4568,0.5414
AMG 7905,鸡屎藤次甙,0.522,0.4145
BCTC,鸡屎藤次甙,0.4984,0.5176
Caffeic acid,鸡屎藤次甙,0.5235,0.2521
DWP-05195,鸡屎藤次甙,0.421,0.4054
JNJ-39729209,鸡屎藤次甙,0.4468,0.4799
LASSBio-1135,鸡屎藤次甙,0.4,0.3259
N-Arachidonoylserotonin,鸡屎藤次甙,0.3827,0.4819
Resolvin D2,鸡屎藤次甙,0.5253,0.5253
Stearoyl Serotonin,鸡屎藤次甙,0.4664,0.3935
Voacangine,鸡屎藤次甙,0.527,0.527
A-784168,鸡屎藤次苷甲酯,0.9562,0.9916
AMG 7905,鸡屎藤次苷甲酯,0.5157,0.4247
BCTC,鸡屎藤次苷甲酯,0.5455,0.5065
Caffeic acid,鸡屎藤次苷甲酯,0.5179,0.2404
DWP-05195,鸡屎藤次苷甲酯,0.4298,0.3991
JNJ-39729209,鸡屎藤次苷甲酯,0.4535,0.4697
LASSBio-1135,鸡屎藤次苷甲酯,0.3998,0.3142
N-Arachidonoylserotonin,鸡屎藤次苷甲酯,0.3999,0.4855
Resolvin D2,鸡屎藤次苷甲酯,0.5153,0.5344
Stearoyl Serotonin,鸡屎藤次苷甲酯,0.4759,0.4164
Voacangine,鸡屎藤次苷甲酯,0.565,0.5859
A-784168,齐墩果酸,0.6175,0.524
AMG 7905,齐墩果酸,0.4757,0.4901
BCTC,齐墩果酸,0.549,0.4325
Caffeic acid,齐墩果酸,0.5057,0.1992
DWP-05195,齐墩果酸,0.4902,0.3862
JNJ-39729209,齐墩果酸,0.4584,0.4028
LASSBio-1135,齐墩果酸,0.408,0.272
N-Arachidonoylserotonin,齐墩果酸,0.4139,0.4265
Resolvin D2,齐墩果酸,0.5243,0.429
Stearoyl Serotonin,齐墩果酸,0.4189,0.4062
Voacangine,齐墩果酸,0.5866,0.48
