ID1,ID2,Similarity_PC-score8Q,Similarity_PC-score8T
RQ-00203078,鸡屎藤次苷甲酯,0.4742,0.3688
Voacangine,鸡屎藤次苷甲酯,0.4951,0.5135
AMG8788,齐墩果酸,0.4556,0.5012
AMTB hydrochloride,齐墩果酸,0.3494,0.4118
BCTC,齐墩果酸,0.4035,0.5121
Elismetrep,齐墩果酸,0.4432,0.3848
Phenazopyridine hydrochloride,齐墩果酸,0.2298,0.474
Phenazopyridine,齐墩果酸,0.2298,0.474
RQ-00203078,齐墩果酸,0.4446,0.4076
Voacangine,齐墩果酸,0.449,0.5487
