ID1,ID2,Similarity_PC-score8Q,Similarity_PC-score8T
17(R)-Resolvin D1,4-香豆酸,0.5048,0.2243
17(R)-Resolvin D1,β-谷甾醇,0.5263,0.4736
17(R)-Resolvin D1,东莨菪素,0.4018,0.2083
17(R)-Resolvin D1,去乙酰基车叶草甙酸,0.5031,0.5031
17(R)-Resolvin D1,山奈酚,0.4605,0.3581
17(R)-Resolvin D1,槲皮素,0.4819,0.3927
17(R)-Resolvin D1,熊果酸,0.5322,0.4355
17(R)-Resolvin D1,秦皮乙素,0.4034,0.1942
17(R)-Resolvin D1,胡萝卜甙,0.5386,0.3547
17(R)-Resolvin D1,豆甾醇,0.5337,0.4804
17(R)-Resolvin D1,车叶草苷,0.506,0.4711
17(R)-Resolvin D1,车叶草酸,0.5651,0.5086
17(R)-Resolvin D1,阿魏酸,0.6087,0.3156
17(R)-Resolvin D1,鸡屎藤次甙,0.5,0.5
17(R)-Resolvin D1,鸡屎藤次苷甲酯,0.5177,0.5368
17(R)-Resolvin D1,齐墩果酸,0.5309,0.4344
