ID1,ID2,Similarity_PC-score8Q,Similarity_PC-score8T
TRPA1 Antagonist 3,阿魏酸,0.6531,0.6997
Voacangine,阿魏酸,0.7181,0.3723
(E)-4-Oxo-2-nonenal,鸡屎藤次甙,0.6183,0.2519
4-(Phenyldiazenyl)benzoic acid,鸡屎藤次甙,0.5233,0.3295
ASP7663,鸡屎藤次甙,0.5333,0.3753
JT010,鸡屎藤次甙,0.5179,0.4412
Methyl syringate,鸡屎藤次甙,0.6386,0.3548
Moringin,鸡屎藤次甙,0.6704,0.5214
PF-4840154,鸡屎藤次甙,0.5429,0.4312
TRPA1 Antagonist 3,鸡屎藤次甙,0.4882,0.2712
Voacangine,鸡屎藤次甙,0.527,0.527
(E)-4-Oxo-2-nonenal,鸡屎藤次苷甲酯,0.5896,0.2316
4-(Phenyldiazenyl)benzoic acid,鸡屎藤次苷甲酯,0.5101,0.3097
ASP7663,鸡屎藤次苷甲酯,0.579,0.3929
JT010,鸡屎藤次苷甲酯,0.5383,0.4422
Methyl syringate,鸡屎藤次苷甲酯,0.6677,0.3577
Moringin,鸡屎藤次苷甲酯,0.6986,0.524
PF-4840154,鸡屎藤次苷甲酯,0.5688,0.4684
TRPA1 Antagonist 3,鸡屎藤次苷甲酯,0.4651,0.2492
Voacangine,鸡屎藤次苷甲酯,0.565,0.5859
(E)-4-Oxo-2-nonenal,齐墩果酸,0.5241,0.1747
4-(Phenyldiazenyl)benzoic acid,齐墩果酸,0.4516,0.2326
ASP7663,齐墩果酸,0.5003,0.288
JT010,齐墩果酸,0.4808,0.3351
Methyl syringate,齐墩果酸,0.5554,0.2524
Moringin,齐墩果酸,0.6194,0.3942
PF-4840154,齐墩果酸,0.5233,0.5391
TRPA1 Antagonist 3,齐墩果酸,0.4614,0.2097
Voacangine,齐墩果酸,0.5866,0.48
