ID1,ID2,Similarity_PC-score8Q,Similarity_PC-score8T
Camphor,4-香豆酸,0.4259,0.4646
Camphor,β-谷甾醇,0.5394,0.1978
Camphor,东莨菪素,0.2637,0.3356
Camphor,去乙酰基车叶草甙酸,0.5339,0.2175
Camphor,山奈酚,0.4778,0.2503
Camphor,槲皮素,0.4484,0.2242
Camphor,熊果酸,0.4177,0.1392
Camphor,秦皮乙素,0.3116,0.3683
Camphor,胡萝卜甙,0.4811,0.1291
Camphor,豆甾醇,0.4811,0.1764
Camphor,车叶草苷,0.6525,0.2475
Camphor,车叶草酸,0.5339,0.1957
Camphor,阿魏酸,0.3782,0.4814
Camphor,鸡屎藤次甙,0.521,0.2123
Camphor,鸡屎藤次苷甲酯,0.521,0.2047
Camphor,齐墩果酸,0.4188,0.1396
