ID1,ID2,Similarity_PC-score8Q,Similarity_PC-score8T
Imperatorin,东莨菪素,0.8462,0.5923
JYL-273,东莨菪素,0.7456,0.2983
Linopirdine,东莨菪素,0.5932,0.2768
MSK-195,东莨菪素,0.7135,0.2854
MSP-3,东莨菪素,0.7297,0.4864
N-Arachidonyldopamine,东莨菪素,0.7143,0.3125
N-Linolenoylethanolamine,东莨菪素,0.4707,0.2865
Olvanil,东莨菪素,0.6972,0.3253
OMDM-5,东莨菪素,0.6521,0.2945
Protokylol,东莨菪素,0.6582,0.3839
Resiniferatoxin,东莨菪素,0.7182,0.2186
Vocacapsaicin,东莨菪素,0.5453,0.2313
(R)-Methanandamide,去乙酰基车叶草甙酸,0.504,0.5234
8-Gingerol,去乙酰基车叶草甙酸,0.4231,0.4967
Capsaicin,去乙酰基车叶草甙酸,0.3951,0.4849
Dihydrocapsiate,去乙酰基车叶草甙酸,0.3941,0.4837
Imperatorin,去乙酰基车叶草甙酸,0.363,0.49
JYL-273,去乙酰基车叶草甙酸,0.5085,0.3923
Linopirdine,去乙酰基车叶草甙酸,0.3942,0.3548
MSK-195,去乙酰基车叶草甙酸,0.4879,0.3763
MSP-3,去乙酰基车叶草甙酸,0.3559,0.4576
N-Arachidonyldopamine,去乙酰基车叶草甙酸,0.4506,0.3802
N-Linolenoylethanolamine,去乙酰基车叶草甙酸,0.4349,0.5105
Olvanil,去乙酰基车叶草甙酸,0.4734,0.4261
OMDM-5,去乙酰基车叶草甙酸,0.4205,0.3663
Protokylol,去乙酰基车叶草甙酸,0.4677,0.5261
Resiniferatoxin,去乙酰基车叶草甙酸,0.5834,0.3424
Vocacapsaicin,去乙酰基车叶草甙酸,0.5614,0.4594
(R)-Methanandamide,山奈酚,0.4854,0.3921
8-Gingerol,山奈酚,0.5528,0.5047
Capsaicin,山奈酚,0.5178,0.4943
Dihydrocapsiate,山奈酚,0.6117,0.5839
Imperatorin,山奈酚,0.5252,0.5515
JYL-273,山奈酚,0.6469,0.3882
Linopirdine,山奈酚,0.6605,0.4623
MSK-195,山奈酚,0.6342,0.3805
MSP-3,山奈酚,0.5212,0.5212
N-Arachidonyldopamine,山奈酚,0.5779,0.3792
N-Linolenoylethanolamine,山奈酚,0.4495,0.4104
Olvanil,山奈酚,0.528,0.3696
OMDM-5,山奈酚,0.5378,0.3643
Protokylol,山奈酚,0.5959,0.5215
Resiniferatoxin,山奈酚,0.5798,0.2647
Vocacapsaicin,山奈酚,0.5353,0.3407
(R)-Methanandamide,槲皮素,0.5043,0.4267
8-Gingerol,槲皮素,0.5824,0.5571
Capsaicin,槲皮素,0.4974,0.4974
Dihydrocapsiate,槲皮素,0.5037,0.5037
Imperatorin,槲皮素,0.5325,0.5857
JYL-273,槲皮素,0.6148,0.3864
Linopirdine,槲皮素,0.5879,0.4311
MSK-195,槲皮素,0.6542,0.4112
MSP-3,槲皮素,0.5474,0.5735
N-Arachidonyldopamine,槲皮素,0.5837,0.4013
N-Linolenoylethanolamine,槲皮素,0.455,0.4352
Olvanil,槲皮素,0.5302,0.3888
OMDM-5,槲皮素,0.5545,0.3935
Protokylol,槲皮素,0.6052,0.5548
Resiniferatoxin,槲皮素,0.577,0.276
Vocacapsaicin,槲皮素,0.5746,0.3831
(R)-Methanandamide,熊果酸,0.3992,0.5067
8-Gingerol,熊果酸,0.3198,0.4589
Capsaicin,熊果酸,0.2762,0.4143
Dihydrocapsiate,熊果酸,0.3254,0.4881
Imperatorin,熊果酸,0.2626,0.4332
JYL-273,熊果酸,0.4233,0.3991
Linopirdine,熊果酸,0.353,0.3883
MSK-195,熊果酸,0.4416,0.4164
MSP-3,熊果酸,0.2546,0.4
N-Arachidonyldopamine,熊果酸,0.4147,0.4276
N-Linolenoylethanolamine,熊果酸,0.324,0.4649
Olvanil,熊果酸,0.4052,0.4457
OMDM-5,熊果酸,0.3592,0.3824
Protokylol,熊果酸,0.2983,0.4102
Resiniferatoxin,熊果酸,0.4934,0.354
Vocacapsaicin,熊果酸,0.5323,0.5323
(R)-Methanandamide,秦皮乙素,0.4985,0.2493
8-Gingerol,秦皮乙素,0.6929,0.3916
Capsaicin,秦皮乙素,0.684,0.4042
Dihydrocapsiate,秦皮乙素,0.6855,0.4051
Imperatorin,秦皮乙素,0.8948,0.5816
JYL-273,秦皮乙素,0.7309,0.2715
Linopirdine,秦皮乙素,0.5903,0.2558
MSK-195,秦皮乙素,0.6214,0.2308
MSP-3,秦皮乙素,0.6858,0.4246
N-Arachidonyldopamine,秦皮乙素,0.7288,0.2961
N-Linolenoylethanolamine,秦皮乙素,0.4301,0.2431
Olvanil,秦皮乙素,0.6907,0.2993
OMDM-5,秦皮乙素,0.6625,0.2778
Protokylol,秦皮乙素,0.7061,0.3825
Resiniferatoxin,秦皮乙素,0.7829,0.2212
Vocacapsaicin,秦皮乙素,0.573,0.2257
(R)-Methanandamide,胡萝卜甙,0.3221,0.5079
8-Gingerol,胡萝卜甙,0.311,0.5543
Capsaicin,胡萝卜甙,0.2521,0.4698
Dihydrocapsiate,胡萝卜甙,0.2936,0.5473
Imperatorin,胡萝卜甙,0.2302,0.4719
JYL-273,胡萝卜甙,0.3762,0.4407
Linopirdine,胡萝卜甙,0.2619,0.358
MSK-195,胡萝卜甙,0.4123,0.483
MSP-3,胡萝卜甙,0.2022,0.3948
N-Arachidonyldopamine,胡萝卜甙,0.379,0.4855
N-Linolenoylethanolamine,胡萝卜甙,0.3067,0.5467
Olvanil,胡萝卜甙,0.3639,0.4973
OMDM-5,胡萝卜甙,0.407,0.5382
Protokylol,胡萝卜甙,0.2782,0.4753
Resiniferatoxin,胡萝卜甙,0.5036,0.4489
Vocacapsaicin,胡萝卜甙,0.4233,0.526
(R)-Methanandamide,豆甾醇,0.4471,0.5158
8-Gingerol,豆甾醇,0.4433,0.5782
Capsaicin,豆甾醇,0.3571,0.4869
Dihydrocapsiate,豆甾醇,0.368,0.5019
Imperatorin,豆甾醇,0.2849,0.4273
JYL-273,豆甾醇,0.4216,0.3614
Linopirdine,豆甾醇,0.3469,0.3469
MSK-195,豆甾醇,0.4888,0.419
MSP-3,豆甾醇,0.2722,0.3888
N-Arachidonyldopamine,豆甾醇,0.5129,0.4808
N-Linolenoylethanolamine,豆甾醇,0.3798,0.4955
Olvanil,豆甾醇,0.5172,0.5172
OMDM-5,豆甾醇,0.463,0.448
Protokylol,豆甾醇,0.3696,0.462
Resiniferatoxin,豆甾醇,0.5849,0.3815
Vocacapsaicin,豆甾醇,0.517,0.47
(R)-Methanandamide,车叶草苷,0.4518,0.504
8-Gingerol,车叶草苷,0.3512,0.4429
Capsaicin,车叶草苷,0.3937,0.519
Dihydrocapsiate,车叶草苷,0.3906,0.5149
Imperatorin,车叶草苷,0.3069,0.445
JYL-273,车叶草苷,0.4804,0.398
Linopirdine,车叶草苷,0.3684,0.3561
MSK-195,车叶草苷,0.5163,0.4278
MSP-3,车叶草苷,0.3601,0.4973
N-Arachidonyldopamine,车叶草苷,0.4642,0.4207
N-Linolenoylethanolamine,车叶草苷,0.4129,0.5207
Olvanil,车叶草苷,0.4586,0.4434
OMDM-5,车叶草苷,0.4255,0.3981
Protokylol,车叶草苷,0.3731,0.4509
Resiniferatoxin,车叶草苷,0.5607,0.3535
Vocacapsaicin,车叶草苷,0.4914,0.4318
(R)-Methanandamide,车叶草酸,0.4591,0.5297
8-Gingerol,车叶草酸,0.3893,0.5077
Capsaicin,车叶草酸,0.388,0.5291
Dihydrocapsiate,车叶草酸,0.3801,0.5183
Imperatorin,车叶草酸,0.3227,0.4841
JYL-273,车叶草酸,0.5672,0.4862
Linopirdine,车叶草酸,0.3702,0.3702
MSK-195,车叶草酸,0.5023,0.4305
MSP-3,车叶草酸,0.3499,0.4999
N-Arachidonyldopamine,车叶草酸,0.4531,0.4247
N-Linolenoylethanolamine,车叶草酸,0.414,0.54
Olvanil,车叶草酸,0.475,0.475
OMDM-5,车叶草酸,0.4178,0.4043
Protokylol,车叶草酸,0.3786,0.4732
Resiniferatoxin,车叶草酸,0.5623,0.3667
Vocacapsaicin,车叶草酸,0.4987,0.4533
(R)-Methanandamide,阿魏酸,0.5767,0.3105
8-Gingerol,阿魏酸,0.8992,0.5474
Capsaicin,阿魏酸,0.7788,0.4956
Dihydrocapsiate,阿魏酸,0.8415,0.5355
Imperatorin,阿魏酸,0.6191,0.4334
JYL-273,阿魏酸,0.779,0.3116
Linopirdine,阿魏酸,0.4834,0.2256
MSK-195,阿魏酸,0.7553,0.3021
MSP-3,阿魏酸,0.7973,0.5315
N-Arachidonyldopamine,阿魏酸,0.78,0.3413
N-Linolenoylethanolamine,阿魏酸,0.5863,0.3569
Olvanil,阿魏酸,0.8947,0.4175
OMDM-5,阿魏酸,0.8295,0.3746
Protokylol,阿魏酸,0.7184,0.4191
Resiniferatoxin,阿魏酸,0.713,0.217
Vocacapsaicin,阿魏酸,0.763,0.3237
(R)-Methanandamide,鸡屎藤次甙,0.5087,0.5282
8-Gingerol,鸡屎藤次甙,0.4311,0.5061
Capsaicin,鸡屎藤次甙,0.4141,0.5082
Dihydrocapsiate,鸡屎藤次甙,0.3869,0.4748
Imperatorin,鸡屎藤次甙,0.3627,0.4896
JYL-273,鸡屎藤次甙,0.5184,0.3999
Linopirdine,鸡屎藤次甙,0.3672,0.3305
MSK-195,鸡屎藤次甙,0.4876,0.3762
MSP-3,鸡屎藤次甙,0.3939,0.5065
N-Arachidonyldopamine,鸡屎藤次甙,0.4529,0.3821
N-Linolenoylethanolamine,鸡屎藤次甙,0.4582,0.5378
Olvanil,鸡屎藤次甙,0.4767,0.4291
OMDM-5,鸡屎藤次甙,0.4525,0.3941
Protokylol,鸡屎藤次甙,0.4675,0.526
Resiniferatoxin,鸡屎藤次甙,0.5403,0.3171
Vocacapsaicin,鸡屎藤次甙,0.5768,0.4719
(R)-Methanandamide,鸡屎藤次苷甲酯,0.5017,0.5403
8-Gingerol,鸡屎藤次苷甲酯,0.4038,0.4915
Capsaicin,鸡屎藤次苷甲酯,0.4,0.5091
Dihydrocapsiate,鸡屎藤次苷甲酯,0.4127,0.5252
Imperatorin,鸡屎藤次苷甲酯,0.3326,0.4657
JYL-273,鸡屎藤次苷甲酯,0.4882,0.3905
Linopirdine,鸡屎藤次苷甲酯,0.3599,0.3359
MSK-195,鸡屎藤次苷甲酯,0.5197,0.4158
MSP-3,鸡屎藤次苷甲酯,0.3884,0.5178
N-Arachidonyldopamine,鸡屎藤次苷甲酯,0.4603,0.4028
N-Linolenoylethanolamine,鸡屎藤次苷甲酯,0.4288,0.522
Olvanil,鸡屎藤次苷甲酯,0.4943,0.4614
OMDM-5,鸡屎藤次苷甲酯,0.4493,0.4058
Protokylol,鸡屎藤次苷甲酯,0.4542,0.5299
Resiniferatoxin,鸡屎藤次苷甲酯,0.5608,0.3414
Vocacapsaicin,鸡屎藤次苷甲酯,0.5463,0.4635
(R)-Methanandamide,齐墩果酸,0.3862,0.4902
8-Gingerol,齐墩果酸,0.3404,0.4884
Capsaicin,齐墩果酸,0.2697,0.4045
Dihydrocapsiate,齐墩果酸,0.3297,0.4946
Imperatorin,齐墩果酸,0.2709,0.447
JYL-273,齐墩果酸,0.482,0.4545
Linopirdine,齐墩果酸,0.3315,0.3647
MSK-195,齐墩果酸,0.4519,0.4261
MSP-3,齐墩果酸,0.2583,0.4059
N-Arachidonyldopamine,齐墩果酸,0.4229,0.4361
N-Linolenoylethanolamine,齐墩果酸,0.3455,0.4957
Olvanil,齐墩果酸,0.4215,0.4636
OMDM-5,齐墩果酸,0.3709,0.3948
Protokylol,齐墩果酸,0.311,0.4276
Resiniferatoxin,齐墩果酸,0.5819,0.4175
Vocacapsaicin,齐墩果酸,0.5047,0.5047
