ID1,ID2,Similarity_PC-score8Q,Similarity_PC-score8T
(R)-Methanandamide,4-香豆酸,0.5459,0.2519
8-Gingerol,4-香豆酸,0.8739,0.456
Capsaicin,4-香豆酸,0.7616,0.4154
Dihydrocapsiate,4-香豆酸,0.845,0.4609
Imperatorin,4-香豆酸,0.5793,0.3476
JYL-273,4-香豆酸,0.7589,0.2602
Linopirdine,4-香豆酸,0.6744,0.2698
MSK-195,4-香豆酸,0.7805,0.2676
MSP-3,4-香豆酸,0.7465,0.4266
N-Arachidonyldopamine,4-香豆酸,0.7126,0.2672
N-Linolenoylethanolamine,4-香豆酸,0.5249,0.2739
Olvanil,4-香豆酸,0.8972,0.3589
OMDM-5,4-香豆酸,0.8517,0.3297
Protokylol,4-香豆酸,0.4967,0.2484
Resiniferatoxin,4-香豆酸,0.55,0.1435
Vocacapsaicin,4-香豆酸,0.7756,0.282
(R)-Methanandamide,β-谷甾醇,0.4329,0.4995
8-Gingerol,β-谷甾醇,0.4359,0.5686
Capsaicin,β-谷甾醇,0.3394,0.4628
Dihydrocapsiate,β-谷甾醇,0.4312,0.588
Imperatorin,β-谷甾醇,0.3009,0.4514
JYL-273,β-谷甾醇,0.4534,0.3886
Linopirdine,β-谷甾醇,0.3635,0.3635
MSK-195,β-谷甾醇,0.4817,0.4129
MSP-3,β-谷甾醇,0.2945,0.4207
N-Arachidonyldopamine,β-谷甾醇,0.4903,0.4597
N-Linolenoylethanolamine,β-谷甾醇,0.4042,0.5272
Olvanil,β-谷甾醇,0.5144,0.5144
OMDM-5,β-谷甾醇,0.4738,0.4585
Protokylol,β-谷甾醇,0.3745,0.4681
Resiniferatoxin,β-谷甾醇,0.5329,0.3476
Vocacapsaicin,β-谷甾醇,0.5477,0.4979
(R)-Methanandamide,东莨菪素,0.5115,0.2754
8-Gingerol,东莨菪素,0.6726,0.4094
Capsaicin,东莨菪素,0.665,0.4232
Dihydrocapsiate,东莨菪素,0.7031,0.4474
