ID1,ID2,Similarity_PC-score8Q,Similarity_PC-score8T
Camphor,4-香豆酸,0.4248,0.4634
Camphor,β-谷甾醇,0.1826,0.4979
Camphor,东莨菪素,0.2637,0.3356
Camphor,去乙酰基车叶草甙酸,0.1807,0.4436
Camphor,山奈酚,0.2576,0.4918
Camphor,槲皮素,0.2319,0.4639
Camphor,熊果酸,0.1474,0.4422
Camphor,秦皮乙素,0.3116,0.3683
Camphor,胡萝卜甙,0.1336,0.4979
Camphor,豆甾醇,0.1886,0.5143
Camphor,车叶草苷,0.2506,0.6607
Camphor,车叶草酸,0.2082,0.5677
Camphor,阿魏酸,0.3782,0.4813
Camphor,鸡屎藤次甙,0.175,0.4295
Camphor,鸡屎藤次苷甲酯,0.2265,0.5765
Camphor,齐墩果酸,0.1462,0.4385
