ID1,ID2,Similarity_PC-score8Q,Similarity_PC-score8T
RQ-00203078,鸡屎藤次苷甲酯,0.4058,0.5218
Voacangine,鸡屎藤次苷甲酯,0.565,0.5859
AMG8788,齐墩果酸,0.4993,0.4539
AMTB hydrochloride,齐墩果酸,0.4295,0.3644
BCTC,齐墩果酸,0.549,0.4325
Elismetrep,齐墩果酸,0.4006,0.4613
Phenazopyridine hydrochloride,齐墩果酸,0.4345,0.2107
Phenazopyridine,齐墩果酸,0.4345,0.2107
RQ-00203078,齐墩果酸,0.4603,0.5021
Voacangine,齐墩果酸,0.5866,0.48
