ID1,ID2,Similarity_PC-score8Q,Similarity_PC-score8T
TRPA1 Antagonist 3,阿魏酸,0.647,0.6039
Voacangine,阿魏酸,0.7181,0.3723
(E)-4-Oxo-2-nonenal,鸡屎藤次甙,0.2116,0.5195
4-(Phenyldiazenyl)benzoic acid,鸡屎藤次甙,0.3036,0.4823
ASP7663,鸡屎藤次甙,0.3552,0.5047
JT010,鸡屎藤次甙,0.418,0.4907
Methyl syringate,鸡屎藤次甙,0.3283,0.5909
Moringin,鸡屎藤次甙,0.496,0.6377
PF-4840154,鸡屎藤次甙,0.5365,0.426
TRPA1 Antagonist 3,鸡屎藤次甙,0.2702,0.4863
Voacangine,鸡屎藤次甙,0.5003,0.5003
(E)-4-Oxo-2-nonenal,鸡屎藤次苷甲酯,0.2468,0.6282
4-(Phenyldiazenyl)benzoic acid,鸡屎藤次苷甲酯,0.2874,0.4733
ASP7663,鸡屎藤次苷甲酯,0.3957,0.5831
JT010,鸡屎藤次苷甲酯,0.4146,0.5047
Methyl syringate,鸡屎藤次苷甲酯,0.3196,0.5966
Moringin,鸡屎藤次苷甲酯,0.4965,0.662
PF-4840154,鸡屎藤次苷甲酯,0.5636,0.4642
TRPA1 Antagonist 3,鸡屎藤次苷甲酯,0.2257,0.4213
Voacangine,鸡屎藤次苷甲酯,0.4951,0.5135
(E)-4-Oxo-2-nonenal,齐墩果酸,0.1488,0.4465
4-(Phenyldiazenyl)benzoic acid,齐墩果酸,0.2109,0.4093
ASP7663,齐墩果酸,0.2751,0.4779
JT010,齐墩果酸,0.3326,0.4772
Methyl syringate,齐墩果酸,0.245,0.5389
Moringin,齐墩果酸,0.3844,0.6041
PF-4840154,齐墩果酸,0.5226,0.5073
TRPA1 Antagonist 3,齐墩果酸,0.1823,0.401
Voacangine,齐墩果酸,0.449,0.5487
