ID1,ID2,Similarity_PC-score8Q,Similarity_PC-score8T
GDC-0334,车叶草酸,0.3712,0.5073
GDC-6599,车叶草酸,0.4656,0.4656
HC-030031,车叶草酸,0.5009,0.4341
hTRPA1-IN-1,车叶草酸,0.6112,0.5705
Resolvin D2,车叶草酸,0.5257,0.4731
TRPA1-IN-2,车叶草酸,0.5036,0.5372
2-Fluoro-4-iodobenzonitrile,阿魏酸,0.817,0.5836
AP-18,阿魏酸,0.8305,0.8305
BAY-390,阿魏酸,0.735,0.5416
GDC-0334,阿魏酸,0.7588,0.2591
GDC-6599,阿魏酸,0.7172,0.3347
HC-030031,阿魏酸,0.6919,0.3725
hTRPA1-IN-1,阿魏酸,0.6023,0.3012
Resolvin D2,阿魏酸,0.5724,0.2968
TRPA1-IN-2,阿魏酸,0.7168,0.3136
2-Fluoro-4-iodobenzonitrile,鸡屎藤次甙,0.3972,0.1471
AP-18,鸡屎藤次甙,0.5738,0.2975
BAY-390,鸡屎藤次甙,0.552,0.3884
GDC-0334,鸡屎藤次甙,0.5006,0.3297
GDC-6599,鸡屎藤次甙,0.4671,0.4204
HC-030031,鸡屎藤次甙,0.5011,0.4825
hTRPA1-IN-1,鸡屎藤次甙,0.6436,0.6206
Resolvin D2,鸡屎藤次甙,0.5253,0.5253
TRPA1-IN-2,鸡屎藤次甙,0.5223,0.4407
2-Fluoro-4-iodobenzonitrile,鸡屎藤次苷甲酯,0.4452,0.159
AP-18,鸡屎藤次苷甲酯,0.5425,0.2712
BAY-390,鸡屎藤次苷甲酯,0.6463,0.4386
GDC-0334,鸡屎藤次苷甲酯,0.5504,0.3759
GDC-6599,鸡屎藤次苷甲酯,0.402,0.4307
HC-030031,鸡屎藤次苷甲酯,0.4873,0.4525
hTRPA1-IN-1,鸡屎藤次苷甲酯,0.6333,0.6333
Resolvin D2,鸡屎藤次苷甲酯,0.5153,0.5344
TRPA1-IN-2,鸡屎藤次苷甲酯,0.5373,0.4701
2-Fluoro-4-iodobenzonitrile,齐墩果酸,0.3302,0.1001
AP-18,齐墩果酸,0.4976,0.2111
BAY-390,齐墩果酸,0.5753,0.3312
GDC-0334,齐墩果酸,0.4,0.497
GDC-6599,齐墩果酸,0.4185,0.3804
HC-030031,齐墩果酸,0.518,0.4081
hTRPA1-IN-1,齐墩果酸,0.749,0.6355
Resolvin D2,齐墩果酸,0.5243,0.429
TRPA1-IN-2,齐墩果酸,0.5282,0.5122
